full_address,shape_X,shape_Y
"7 Waikana Street, Broad Bay, Dunedin",170.6204493,-45.849476
"179 Norwood Street, Normanby, Dunedin",170.5514403,-45.83707793
"3 Gorman Street, Macandrew Bay, Dunedin",170.5990891,-45.8640856
"2 Dickson Street, Macandrew Bay, Dunedin",170.5997473,-45.86860423
"844 Cumberland Street, North Dunedin, Dunedin",170.5148194,-45.86054685
"198A Larnach Road, Waverley, Dunedin",170.535217,-45.88281198
"7A Wallace Street, Roslyn, Dunedin",170.4980901,-45.867286
"73 Cliffs Road, Saint Clair, Dunedin",170.48436,-45.91568178
"29 Passmore Crescent, Maori Hill, Dunedin",170.5013924,-45.85680597
"12 Cohen Place, Wakari, Dunedin",170.4890156,-45.85727637
"2 Archibald Street, Waverley, Dunedin",170.5309378,-45.88909588
"4 Ballantyne Street, Waverley, Dunedin",170.5289338,-45.8894605
"2/95 Clyde Street, North Dunedin, Dunedin",170.517363,-45.86529602
"50 Silverstream Drive, Mosgiel",170.33433,-45.8748339
"25 Carlyle Road, Mosgiel",170.3339333,-45.8753982
"4A Forth Street, Mosgiel",170.3464388,-45.87360478
"21 Every Street, Andersons Bay, Dunedin",170.5320868,-45.89140332
"91 Highcliff Road, Andersons Bay, Dunedin",170.5369367,-45.89403918
"64 Goodall Street, Mosgiel",170.3344539,-45.87117642
"66 Goodall Street, Mosgiel",170.3342508,-45.8712421
"899 Brighton Road, Ocean View, Dunedin",170.3393204,-45.9422157
"12 Nairn Street, Mosgiel",170.3522423,-45.87026545
"17 Nairn Street, Mosgiel",170.3514214,-45.86967422
"19 Nairn Street, Mosgiel",170.3513555,-45.8695399
"17 Braeside, Kinmont Park, Mosgiel",170.3498921,-45.89419695
"11 Hampton Grove, Mosgiel",170.3580052,-45.88380817
"11 Bishop Verdon Close, Mosgiel",170.3562691,-45.88284625
"15 Walton Park Avenue, Fairfield, Dunedin",170.3961538,-45.90355918
"18 Main Road, Fairfield, Dunedin",170.4015603,-45.89704885
"2 Flower Street, Fairfield, Dunedin",170.4013565,-45.8966464
"125 Ashmore Street, Halfway Bush, Dunedin",170.4623602,-45.85783918
"8 Lochend Street, Musselburgh, Dunedin",170.517171,-45.8989943
"274 Oxford Street, South Dunedin, Dunedin",170.4963078,-45.90095947
"974 Highcliff Road, Highcliff, Dunedin",170.6134817,-45.87910827
